W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 40.2s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 24.6s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 1.073191672032625e-09, Accum Loss: 1.4904260039329529
Lr: 3.2195750160978755e-09, Accum Loss: 1.4154992699623108
Lr: 5.365958360163126e-09, Accum Loss: 1.5017942786216736
Lr: 7.512341704228376e-09, Accum Loss: 1.4814111590385437
Lr: 9.658725048293626e-09, Accum Loss: 1.4678780436515808
Lr: 1.1805108392358875e-08, Accum Loss: 1.442211627960205
Lr: 1.3951491736424127e-08, Accum Loss: 1.4935762286186218
Lr: 1.6097875080489375e-08, Accum Loss: 1.5196865797042847
Lr: 1.8244258424554626e-08, Accum Loss: 1.5169379711151123
Lr: 2.0390641768619876e-08, Accum Loss: 1.453013837337494
Lr: 2.2537025112685127e-08, Accum Loss: 1.5382002592086792
Lr: 2.4683408456750378e-08, Accum Loss: 1.4918885231018066
Lr: 2.682979180081563e-08, Accum Loss: 1.2634665966033936
Lr: 2.8976175144880877e-08, Accum Loss: 1.385115623474121
Lr: 3.112255848894613e-08, Accum Loss: 1.4540631771087646
Lr: 3.326894183301138e-08, Accum Loss: 1.4910721182823181
Lr: 3.541532517707663e-08, Accum Loss: 1.476566195487976
Lr: 3.756170852114188e-08, Accum Loss: 1.4312379360198975
Lr: 3.970809186520713e-08, Accum Loss: 1.474325954914093
Lr: 4.1854475209272375e-08, Accum Loss: 1.5083786845207214
Lr: 4.400085855333763e-08, Accum Loss: 1.4793808460235596
Lr: 4.614724189740288e-08, Accum Loss: 1.5624419450759888
Lr: 4.8293625241468134e-08, Accum Loss: 1.491047441959381
Lr: 5.044000858553338e-08, Accum Loss: 1.5038456320762634
Lr: 5.258639192959863e-08, Accum Loss: 1.5407416224479675
Lr: 5.473277527366388e-08, Accum Loss: 1.4707503914833069
Lr: 5.687915861772913e-08, Accum Loss: 1.4827813506126404
Lr: 5.9025541961794375e-08, Accum Loss: 1.5381208062171936
Lr: 6.117192530585963e-08, Accum Loss: 1.5744448900222778
Lr: 6.331830864992488e-08, Accum Loss: 1.52117520570755
Lr: 6.546469199399013e-08, Accum Loss: 1.4478129744529724
Lr: 6.761107533805538e-08, Accum Loss: 1.468243658542633
Lr: 6.975745868212062e-08, Accum Loss: 1.3272143602371216
Lr: 7.190384202618588e-08, Accum Loss: 1.520295262336731
Lr: 7.405022537025114e-08, Accum Loss: 1.4653689861297607
Lr: 7.619660871431638e-08, Accum Loss: 1.4423810839653015
Lr: 7.834299205838163e-08, Accum Loss: 1.5622957348823547
Lr: 8.048937540244688e-08, Accum Loss: 1.4692818522453308
Lr: 8.263575874651214e-08, Accum Loss: 1.359675645828247
Lr: 8.478214209057739e-08, Accum Loss: 1.5395337343215942
Lr: 8.692852543464263e-08, Accum Loss: 1.5490145087242126
Lr: 8.907490877870787e-08, Accum Loss: 1.6029207110404968
Lr: 9.122129212277314e-08, Accum Loss: 1.5858330726623535
Lr: 9.336767546683839e-08, Accum Loss: 1.5058888792991638
Lr: 9.551405881090363e-08, Accum Loss: 1.5041602849960327
Lr: 9.766044215496888e-08, Accum Loss: 1.5617156624794006
Lr: 9.980682549903413e-08, Accum Loss: 1.568418562412262
Lr: 1.0195320884309939e-07, Accum Loss: 1.4182438850402832
Lr: 1.0409959218716464e-07, Accum Loss: 1.4904345273971558
Lr: 1.062459755312299e-07, Accum Loss: 1.5414053797721863
Lr: 1.0839235887529514e-07, Accum Loss: 1.633215606212616
Lr: 1.1053874221936038e-07, Accum Loss: 1.4827727675437927
Lr: 1.1268512556342563e-07, Accum Loss: 1.491816520690918
Lr: 1.148315089074909e-07, Accum Loss: 1.4919400811195374
Lr: 1.1697789225155614e-07, Accum Loss: 1.546967327594757
Lr: 1.1912427559562139e-07, Accum Loss: 1.5341132283210754
Lr: 1.2127065893968663e-07, Accum Loss: 1.4477601051330566
Lr: 1.2341704228375187e-07, Accum Loss: 1.428338348865509
Lr: 1.2556342562781715e-07, Accum Loss: 1.515223205089569
Lr: 1.277098089718824e-07, Accum Loss: 1.4291678071022034
Lr: 1.2985619231594763e-07, Accum Loss: 1.462533712387085
Lr: 1.3200257566001288e-07, Accum Loss: 1.5582997798919678
Lr: 1.3414895900407812e-07, Accum Loss: 1.393697202205658
Lr: 1.362953423481434e-07, Accum Loss: 1.5317054390907288
Lr: 1.3844172569220864e-07, Accum Loss: 1.5307087898254395
Lr: 1.4058810903627388e-07, Accum Loss: 1.5601909160614014
Lr: 1.4273449238033913e-07, Accum Loss: 1.5506268739700317
Lr: 1.448808757244044e-07, Accum Loss: 1.4640671610832214
Lr: 1.4702725906846964e-07, Accum Loss: 1.4434876441955566
Lr: 1.4917364241253488e-07, Accum Loss: 1.4334209561347961
Lr: 1.5132002575660016e-07, Accum Loss: 1.4821682572364807
Lr: 1.534664091006654e-07, Accum Loss: 1.5465214848518372
Lr: 1.5561279244473064e-07, Accum Loss: 1.4528194665908813
Lr: 1.577591757887959e-07, Accum Loss: 1.4923598766326904
Lr: 1.5990555913286116e-07, Accum Loss: 1.52975195646286
Lr: 1.6205194247692638e-07, Accum Loss: 1.377809226512909
Lr: 1.6419832582099165e-07, Accum Loss: 1.4469181895256042
Lr: 1.6634470916505692e-07, Accum Loss: 1.370062232017517
Lr: 1.6849109250912214e-07, Accum Loss: 1.3856817483901978
Lr: 1.706374758531874e-07, Accum Loss: 1.4599843621253967
Lr: 1.7278385919725262e-07, Accum Loss: 1.4170389771461487
Lr: 1.749302425413179e-07, Accum Loss: 1.5887130498886108
Lr: 1.7707662588538317e-07, Accum Loss: 1.3693430423736572
Lr: 1.7922300922944838e-07, Accum Loss: 1.4688761234283447
Lr: 1.8136939257351365e-07, Accum Loss: 1.3410707116127014
Lr: 1.8351577591757887e-07, Accum Loss: 1.4466543197631836
Lr: 1.8566215926164414e-07, Accum Loss: 1.523217499256134
Lr: 1.878085426057094e-07, Accum Loss: 1.4234201908111572
Lr: 1.8995492594977463e-07, Accum Loss: 1.3424368500709534
Lr: 1.921013092938399e-07, Accum Loss: 1.5140299201011658
Lr: 1.9424769263790515e-07, Accum Loss: 1.483114242553711
Lr: 1.963940759819704e-07, Accum Loss: 1.4865870475769043
Lr: 1.9854045932603566e-07, Accum Loss: 1.5207847356796265
Lr: 2.0068684267010088e-07, Accum Loss: 1.4090683460235596
Lr: 2.0283322601416615e-07, Accum Loss: 1.4940966963768005
Lr: 2.049796093582314e-07, Accum Loss: 1.442455768585205
Lr: 2.0712599270229664e-07, Accum Loss: 1.4962546825408936
Lr: 2.092723760463619e-07, Accum Loss: 1.4066941738128662
Lr: 2.1141875939042715e-07, Accum Loss: 1.3873931765556335
Lr: 2.135651427344924e-07, Accum Loss: 1.4879944920539856
Lr: 2.1571152607855764e-07, Accum Loss: 1.3397495746612549
Lr: 2.178579094226229e-07, Accum Loss: 1.4375892877578735
Lr: 2.2000429276668816e-07, Accum Loss: 1.5727420449256897
Lr: 2.221506761107534e-07, Accum Loss: 1.443290889263153
